input,output
این خرده فرهنگ ها مختلف هستند؟,خرده فرهنگ که خود انواع مختلف دارد
و چه آثاری بر جامعه دارند؟,باعث شکاف در تمایلات ذهنی، سبک زندگی، و ایجاد تغییر در تصویر ظاهر، طرز حرکت و زبان در یک جامعه می‌شود
در گذشته هم این خرده فرهنگ ها وجود داشته است؟,غیرقابل‌پاسخ
قانون نسبیت عام چیست؟,نسبیت عام (به انگلیسی: General relativity) نظریه‌ای هندسی برای گرانش است
توسط چه کسی مطرح شد؟,توسط آلبرت اینشتین منتشر شد
به توضیح چه چیز می پردازد؟,این نظریه، گرانش را به‌عنوان یک عامل هندسی و نه یک نیرو بررسی می‌کند
و چه چیزی را پیش بینی میکند؟,این نظریه وجود سیاهچاله‌ها را به‌عنوان وضعیت پایانی ستاره‌های بزرگ پیش‌بینی می‌کند
منظور از سیاهچاله چیست؟,غیرقابل‌پاسخ
چیز دیگری هم پیش بینی کرده است؟,نسبیت عام همچنین وجود امواج گرانشی را پیش‌بینی می‌کند که مشاهدهٔ آن‌ها برای نخستین بار در سال ۲۰۱۶ و پس از گذشت صد سال از پیش‌بینی اینشتین در مورد وجود این امواج، به کمک تأسیسات لایگو (LIGO) صورت پذیرفت
سازمان چریک‌های فدایی خلق ایران، چه نوع سازمانی بود؟,سازمان چریک‌های فدایی خلق ایران سازمانی سیاسی و نظامی مارکسیستی بود
بنیان گذار آن که بود؟,غیرقابل‌پاسخ
چگونه تشکیل شد؟,از اتحاد دو گروه چپ زیرزمینی شکل گرفت
شعار آنها چه بود؟,شعارهای اصلی سازمان «مرگ بر امپریالیسم و سگ‌های زنجیریش» و «سرنگونی شاه و حامیان امپریالیستش» بود
با گروه های دیگر همکاری داشتند؟,این سازمان با جنبش‌های دیگر نظیر فلسطینی‌ها در ارتباط بود
توسط جایی حمایت میشدند؟,از کشورهایی مانند لیبی کمک مالی دریافت می‌کرد
آیا فعالیت نظامی هم داشتند؟,سازمان چریک‌های فدایی خلق ایران از مهم‌ترین و تأثیرگذارترین گروه‌های مسلح در جریان انقلاب ۱۳۵۷ ایران بود
و چه کارهایی انجام دادند؟,فدائیان پس از شکل‌گیری توانستد چندین عملیات و ترور مهم و پر سر و صدا مانند حمله به پاسگاه سیاهکل، انفجار دکل‌های برق، انفجار برخی مراکز پلیس، ترور سرلشکر فرسیو رئیس دادرسی ارتش، ترور محمدصادق فاتح یزدی به عنوان یکی از بزرگ‌ترین کارخانه‌داران ایران، حمله و سرقت از بانک‌های حکومت پهلوی و بمب‌گذاری در دفاتر شرکت‌های نفتی آمریکایی انجام دهند
چرا دزدی میکردند؟,سرقت‌ها به هدف تامین مالی گروه و تحت عنوان «مصادره اموال بورژوازی به نفع خلق» صورت می‌گرفت
به خمینی باور داشتند؟,این سازمان در زمان انقلاب از مدافعان روح‌الله خمینی بود
پس از انقلاب سال 57 طرفدار حکومت جدید بودند؟,در سال‌های ۱۳۵۸ و ۱۳۵۹ به عنوان بزرگ‌ترین سازمان منتقد حکومت جدید (جمهوری اسلامی) محسوب می‌شد
آیا اختلاف نظری در اعضا به وجود آمد؟,با اینحال در این سال‌ها به دلیل وجود دو دیدگاه متفاوت در این سازمان در نحوه برخورد با جمهوری اسلامی، انشعابی در آن روی داد و اکثریت اعضا و هواداران، سیاست حمایت از «جناح مترقی» جمهوری اسلامی را که سیاست حزب توده ایران بود، پذیرفتند
و نتیجه آن چه شد؟,جناح مذکور سازمان فداییان خلق ایران (اکثریت) نام گرفت و جناح مقابل که به اقلیت معروف شد، به مبارزه مسلحانه با جمهوری اسلامی روی آورد
آیا اعضای این سازمان به راحتی می توانستند از این سازمان خارج شوند؟,در مواردی سازمان چندین نفر از اعضا را که می‌خواستند از زندگی مخفی دست بردارند یا از سازمان خارج شوند، اعدام کردند
هنوز این سازمان فعال است؟,غیرقابل‌پاسخ
جوردی آلبا کیست؟,جوردی آلبا راموس (به اسپانیایی: Jordi Alba Ramos) (زادهٔ ۲۱ مارس ۱۹۸۹) بازیکن فوتبال اهل اسپانیا است
پست تخصصی او چیست؟,در پست دفاع چپ
در کدام باشگاه فوتبال را شروع کرد؟,آلبا ابتدا حرفه‌اش را با باشگاه جوانان بارسلونا شروع کرد
در آنجا ماند؟,پس از مدتی به باشگاه فوتبال کورنیا منتقل شد
سپس به کجا رفت؟,او سپس به والنسیا رفت
آمار او در والنسیا چگونه بود؟,او در طی سه فصل بازی برای والنسیا در ۱۱۰ مسابقه حضور پیدا کرد و در نقش یک مدافع کناری با ۶ گل و ۸ پاس گل روی ۱۴ گل اثر مستقیم داشت
پس از والنسیا به کجا رفت؟,آلبا در ۲۰۱۲ دوباره به بارسلونا بازگشت
چه جوایزی با بارسا کسب کرده است؟,۱۵ قهرمانی را شامل ۵ لالیگا، ۴ کوپا دل ری، ۴ سوپرجام اسپانیا، ۱ لیگ قهرمانان اروپا، ۱ سوپرجام اروپا و ۱ جام باشگاه‌های جهان تجربه کرد
شماره پیراهن او در بارسا چند بود؟,غیرقابل‌پاسخ
در چه تورنمنت هایی با تیم ملی بوده است؟,او به تیم ملی بزرگسالان اسپانیا دعوت شد او بهترین دفاع چپ جهان است و به قهرمانی در جام ملت‌های اروپا ۲۰۱۲ رسید. او همچنین با اسپانیا رقابت‌های جام جهانی ۲۰۱۴، ۲۰۱۸، ۲۰۲۲، جام ملت‌های اروپا ۲۰۱۶ و جام ملت‌های اروپا ۲۰۲۰ را تجربه کرد
هنوز فوتبال بازی میکند؟,غیرقابل‌پاسخ
هلن تِرُوایی که بود؟,هلن تروایی (به یونانی: Ἑλένη) یا هلن اسپارتی، در اساطیر یونانی بنابر ایلیاد هومر، دختر زئوس و لدا، و همسر منلائوس پادشاه میسنی بود که با توطئه آفرودیت، خدای یونانی، به دست پاریس، شاهزاده تروا، دزدیده شد و به تروا رفت
او برادر یا خواهری هم داشت؟,هلن دختر زئوس پادشاه خدایان و لدا بود. زئوس به شکل قویی درآمد و لدا را فریفت و با او هم‌بستر شد. بعد از آن لدا تخم‌هایی گذاشت. برای همین گفته شده که هلن از تخم به‌دنیا آمده‌است. از تخم‌های دیگر لدا، برادران دوقلو، کستور و پولوکس و کلوتایمنسترا به دنیا آمدند
با چه کسی ازدواج کرد؟,بسیاری خواستگار او بودند، اما ناپدری‌اش، توندارئوس، از همه خواستگاران قول گرفت که آن‌چه هلن برمی‌گزیند را بپذیرند و حامی شوهرش باشند. هلن، منلائوس را برگزید
چرا او را دزدیدند؟,غیرقابل‌پاسخ
چطور او را از پاریس پس گرفتند؟,وقتی او با پاریس گریخت، همه شاهزادگان بنا به پیمان، به کمک منلائوس آمدند و جنگ تروآ درگرفت. پس از جنگ و سقوط تروآ، او را به منلائوس بازگرداندند، که تا پایان عمر نزد او ماند
پستانداران در کدام گروه از حیوانات هستند؟,پستانداران رده‌ای از جانوران مهره‌دار هستند
چه مشخصاتی دارند؟,پستانداران، جانورانی هستند که دارای مو بوده و غدد شیری دارند. معمولا دارای دندان‌های متنوعی هستند که درون حفره دندانی، جای می‌گیرد
